Model,Seed,Experiment_Number,Accuracy,AUC,F1_Score
logisticregression,315491657,1,0.7435897435897436,0.7763888888888889,0.6666666666666666
logisticregression,135304577,2,0.6043956043956044,0.6036363636363636,0.4375
logisticregression,1572185508,3,0.8222222222222222,0.8600823045267489,0.7333333333333333
logisticregression,1029933563,4,0.7701149425287356,0.8496071829405163,0.6551724137931034
logisticregression,1950160822,5,0.8,0.91005291005291,0.6666666666666666
logisticregression,563269619,6,0.7027027027027027,0.6812260536398468,0.6666666666666666
logisticregression,1573902777,7,0.7261904761904762,0.6989795918367347,0.6349206349206349
logisticregression,513873336,8,0.6623376623376623,0.6953846153846154,0.5185185185185185
logisticregression,442822283,9,0.7294117647058823,0.769704433497537,0.5490196078431373
logisticregression,1770168448,10,0.7931034482758621,0.8700128700128701,0.7272727272727273
