Model,Seed,Experiment_Number,Accuracy,AUC,F1_Score
randomforest,315491657,1,0.8076923076923077,0.8694444444444445,0.782608695652174
randomforest,135304577,2,0.7252747252747253,0.843030303030303,0.5901639344262295
randomforest,1572185508,3,0.7777777777777778,0.8677248677248678,0.5833333333333334
randomforest,1029933563,4,0.7701149425287356,0.8350168350168351,0.6551724137931034
randomforest,1950160822,5,0.8133333333333334,0.8236331569664904,0.5625
randomforest,563269619,6,0.6081081081081081,0.6199233716475095,0.5538461538461539
randomforest,1573902777,7,0.7738095238095238,0.8724489795918368,0.6545454545454545
randomforest,513873336,8,0.6753246753246753,0.6723076923076924,0.4444444444444444
randomforest,442822283,9,0.7764705882352941,0.8165024630541873,0.6122448979591837
randomforest,1770168448,10,0.6896551724137931,0.8159588159588159,0.5909090909090909
