Model,Seed,Experiment_Number,Accuracy,AUC,F1_Score
logisticregression,315491657,1,0.7435897435897436,0.7763888888888889,0.6666666666666666
xgboost,315491657,1,0.8205128205128205,0.9125,0.78125
randomforest,315491657,1,0.8076923076923077,0.8694444444444445,0.782608695652174
logisticregression,135304577,2,0.6043956043956044,0.6036363636363636,0.4375
xgboost,135304577,2,0.7582417582417582,0.8290909090909091,0.6071428571428571
randomforest,135304577,2,0.7252747252747253,0.843030303030303,0.5901639344262295
logisticregression,1572185508,3,0.8222222222222222,0.8600823045267489,0.7333333333333333
xgboost,1572185508,3,0.7888888888888889,0.8712522045855379,0.5581395348837209
randomforest,1572185508,3,0.7777777777777778,0.8677248677248678,0.5833333333333334
logisticregression,1029933563,4,0.7701149425287356,0.8496071829405163,0.6551724137931034
xgboost,1029933563,4,0.7241379310344828,0.7962962962962963,0.6129032258064516
randomforest,1029933563,4,0.7701149425287356,0.8350168350168351,0.6551724137931034
xgboost,1950160822,5,0.8,0.8148148148148148,0.5161290322580645
randomforest,1950160822,5,0.8133333333333334,0.8236331569664904,0.5625
logisticregression,1950160822,5,0.8,0.91005291005291,0.6666666666666666
randomforest,563269619,6,0.6081081081081081,0.6199233716475095,0.5538461538461539
logisticregression,563269619,6,0.7027027027027027,0.6812260536398468,0.6666666666666666
xgboost,563269619,6,0.5945945945945946,0.7172413793103448,0.53125
randomforest,1573902777,7,0.7738095238095238,0.8724489795918368,0.6545454545454545
logisticregression,1573902777,7,0.7261904761904762,0.6989795918367347,0.6349206349206349
xgboost,1573902777,7,0.8333333333333334,0.8909438775510204,0.7666666666666667
randomforest,513873336,8,0.6753246753246753,0.6723076923076924,0.4444444444444444
logisticregression,513873336,8,0.6623376623376623,0.6953846153846154,0.5185185185185185
xgboost,513873336,8,0.7792207792207793,0.7423076923076923,0.6666666666666666
xgboost,442822283,9,0.8117647058823529,0.8220443349753694,0.7142857142857143
randomforest,442822283,9,0.7764705882352941,0.8165024630541873,0.6122448979591837
logisticregression,442822283,9,0.7294117647058823,0.769704433497537,0.5490196078431373
randomforest,1770168448,10,0.6896551724137931,0.8159588159588159,0.5909090909090909
logisticregression,1770168448,10,0.7931034482758621,0.8700128700128701,0.7272727272727273
xgboost,1770168448,10,0.7758620689655172,0.8146718146718146,0.7547169811320755
