Sample ID,Alpha Diversity (Shannon Index)
DC013,3.0213341491215595
DC014,2.891474875516255
DC015,2.346119537336824
DC016,3.024525043777218
DC017,1.7467624326684168
DC018,1.905161899533827
DC019,0.0
DC020,2.1227237198530338
DC021,2.305167019937855
DC022,3.3428057102811737
DC024,3.511142109971063
DC025,3.499772655146459
DC026,3.4281400010579213
DC027,2.72438163073632
DC028,3.28454351465901
DC029,3.049016124976869
DC030,3.137581564514304
DC031,2.826604120379871
DC032,3.060486960419364
DC033,3.16190788815787
DC034,2.739269328105095
DC035,2.1142239616103224
DC036,2.6380410417722557
DC037,2.857649596475144
DC038,2.804483157208017
DC039,2.687148851419158
DC040,2.452060149761877
DC041,2.8718008587992463
DC042,3.1134307930433334
DC043,2.4175807784402767
DC044,2.925922979244435
DC045,2.747897333070352
DC046,3.195703585637619
DC047,3.3618179139769904
DC048,2.8589793230910137
DC049,3.228916434214386
DC050,3.3847943124464335
DC051,3.2462843912528894
DC052,2.916366254162396
DC054,3.234745559405818
DC055,3.479978719028077
DC056,3.534488579272457
DC057,3.306309149258389
DC058,3.8299440289878595
DC059,3.5460114526370727
DC060,3.4128122323479353
DC061,2.7188204115706602
DC062,3.5419293810216685
DC063,3.237781842093839
DC064,3.3609886874587964
DC072,3.7307850054002083
DC073,3.46689181363585
DC074,3.589963320373545
DC075,3.00336751112782
DC076,3.565709886052861
DC077,3.6513416585570457
DC079,3.5265073134188336
DC080,3.3889210383367083
DC081,3.7935164461856576
DC082,3.6044275289105556
DC083,3.6273804649709205
DC092,3.6585987439623713
DC093,2.6352493940649238
DC094,3.156991155670073
DC099,3.110932420907263
FB002,3.0208163485319908
FB003,2.4611770321549664
FB004,2.3069890802189468
FB009,3.1950612772854554
FB014,2.669814449749615
FB015,3.3572984916445625
FB018,1.4534282004718957
FB033,2.2205545569086995
FB034,2.7211195362946463
FB036,2.9989731444242365
FB039,2.578818511373907
FB040,2.2395289017297366
FB041,2.490751548743751
FB043,2.931556615322785
FB048,2.3889447171408627
FB053,0.6780982129374733
FB054,2.293671594453953
FB057,1.5403784628393407
FB058,2.221627303208254
FB059,1.3638065110549826
FB061,1.8920934662611504
FB063,2.4349628304778714
FB064,2.4974472997756325
FB072,2.9110137325705443
FB077,2.7182189278071793
FB082,3.013540397263029
FB084,3.257546798831117
FB087,2.51451340021025
FB088,3.1803287586177715
FB089,3.3259928429921564
FB091,2.004871971108294
FB095,2.790563661055121
FB097,3.4070510316058726
FB100,2.7786379544700877
FB103,3.3307876535152703
FB104,1.6537248323605551
FB106,2.6204478676288
FB108,3.2625344516007004
FB109,3.575772442460789
FB110,3.616514068991538
FB111,2.5376291307969323
FB112,3.159173034021843
FB113,3.8292616813304683
FB119,2.605742930470387
FB121,2.6940455914900716
FB124,2.510307887357606
FB125,3.1760078520707093
