Sample ID,Alpha Diversity (Shannon Index)
DC079,3.5265073134188336
FB015,3.3572984916445625
FB034,2.7211195362946463
FB043,2.931556615322785
FB091,2.004871971108294
FB106,2.6204478676288
FB108,3.2625344516007004
FB137,3.8837667646220213
FB147,3.189927497014942
FB159,3.7341115296564618
FB166,2.5014375316413346
FB169,3.607217632940039
FB174,3.003740044576918
FB176,3.4091424989586647
FB196,2.2396555251866928
FB224,2.7755870363745814
FB232,2.9087521545992017
FB295,2.949325880683512
FB300,2.8348896368429837
FB311,3.466940786381885
FB318,3.0366125518236986
FB341,3.2029256526830627
FB351,2.6330467353760336
FB356,3.110990292226302
FB375,3.2292824239884794
FB385,3.1495198885333235
FB391,2.770906142112275
FB408,2.5070206761204976
FB412,3.142241895852618
FB432,3.020377675382089
