Model,Seed,Experiment_Number,Accuracy,AUC,F1_Score
adam,315491657,1,0.7333333333333333,0.7333333333333334,0.7894736842105263
adam,135304577,2,0.7,0.7,0.7692307692307693
adam,1572185508,3,0.8,0.8,0.8125
adam,1029933563,4,0.7333333333333333,0.7333333333333334,0.7777777777777778
adam,1950160822,5,0.5666666666666667,0.5666666666666667,0.6285714285714286
adam,563269619,6,0.6,0.6000000000000001,0.7
adam,1573902777,7,0.7333333333333333,0.7333333333333334,0.7894736842105263
adam,513873336,8,0.5666666666666667,0.5666666666666667,0.6486486486486487
adam,442822283,9,0.6333333333333333,0.6333333333333333,0.717948717948718
adam,1770168448,10,0.7333333333333333,0.7333333333333334,0.7894736842105263
adam,2042199113,11,0.6666666666666666,0.6666666666666667,0.6875
adam,441301073,12,0.5333333333333333,0.5333333333333333,0.6111111111111112
adam,236793113,13,0.7,0.7,0.7428571428571429
adam,387615796,14,0.6,0.6000000000000001,0.7
adam,1899788307,15,0.7333333333333333,0.7333333333333334,0.7333333333333333
adam,788877054,16,0.4666666666666667,0.4666666666666667,0.6
adam,681076636,17,0.7666666666666667,0.7666666666666666,0.8108108108108109
adam,504404028,18,0.7333333333333333,0.7333333333333334,0.7894736842105263
adam,1620098870,19,0.6,0.6000000000000001,0.6842105263157895
adam,847071637,20,0.7,0.7,0.7692307692307693
adam,1967649092,21,0.7,0.7,0.7692307692307693
adam,1010220053,22,0.6,0.6000000000000001,0.7
adam,644534191,23,0.7,0.7000000000000001,0.7272727272727273
adam,844067037,24,0.5,0.5,0.5945945945945946
adam,59236795,25,0.6333333333333333,0.6333333333333333,0.717948717948718
adam,1814102137,26,0.6,0.6000000000000001,0.6842105263157895
adam,787036043,27,0.7333333333333333,0.7333333333333334,0.7777777777777778
adam,1853222053,28,0.6333333333333333,0.6333333333333333,0.717948717948718
adam,745124550,29,0.7,0.7,0.7692307692307693
adam,2136397237,30,0.7333333333333333,0.7333333333333334,0.7777777777777778
