Feature,Mean_SHAP,Mean_Abs_SHAP,Std_SHAP
malnutrition_indicator_sco,0.07431107766871395,0.7325820546930208,0.9132252400944857
PPI,-0.016483567740419907,0.6411575918256236,0.6942251761746832
Neglecta timonensis,0.120661466139543,0.4851776712492293,0.7321928730733007
Barnesiella intestinihominis,0.004573084469581765,0.3650288957740154,0.4614730476724337
Eubacterium rectale,-0.001543777997047552,0.29183793208084585,0.32766216141100735
clinical_frailty_scale,0.003085428133873728,0.24556853350544378,0.27859812705709674
Bacteroides uniformis,-0.006456337643605537,0.22774333662622254,0.27162205832812963
Blautia producta,0.015754746486247317,0.22278537171237872,0.2597662093261211
Beta blockers,0.012492997538907898,0.21972582720155723,0.22850211699074274
Phocaeicola dorei,0.02018542526959919,0.2031819136296513,0.2285433383148922
Clostridia unclassified SGB4121,-0.02465176480458827,0.19717281171491718,0.20095438953800338
GGB3433 SGB4573,0.011706275221819764,0.18274147651281314,0.2140566352903683
Bilophila wadsworthia,0.0018379754589007283,0.17776388417747685,0.21927111303021038
Enterocloster clostridioformis,-0.0008127814956762741,0.1777433553085062,0.21876914671994485
Faecalimonas umbilicata,-0.0015273764012078415,0.1669003587963847,0.20632620859556433
Mediterraneibacter glycyrrhizinilyticus,0.0035439045577332707,0.14489823353522238,0.17578644241995348
Cloacibacillus evryensis,0.0200210992856769,0.12474778940533937,0.241932742877888
Streptococcus salivarius,-0.01471890454077256,0.12439750573601036,0.1384940741709524
Bacteroides thetaiotaomicron,-0.009853648781394062,0.12189373773789573,0.12825445143101194
cholinesterase inhibitors,0.009840483614584295,0.11531561474156803,0.19919494007458746
Clostridiaceae bacterium,-0.01064698607681652,0.11513489269214205,0.12098998577441845
Thyroid replacement hormones,-0.008460327788460523,0.11383603796514331,0.15098468295557418
Phascolarctobacterium faecium,0.0003760236810620251,0.10957201092042072,0.1316506987741701
Clostridium leptum,0.005816117636405117,0.10548202695576772,0.12830546300760978
Clostridium sp AT4,-0.009987155995767064,0.09335914568803311,0.1282801904874615
GGB4566 SGB6305,-0.0026219851229854585,0.09068355694988639,0.12891477931293002
Phocaeicola vulgatus,0.007305695703582044,0.0816135718263435,0.10829929575196133
Ruminococcus bromii,0.012101063516390387,0.0788549480267812,0.09332371927935372
age_cat,0.006494194564212684,0.07763301800622228,0.11101757482330264
Ruminococcus gnavus,0.004860180763535326,0.07191519206075558,0.09768692267913781
Tyzzerella nexilis,0.003557843037434231,0.07182290587725677,0.09133954557186623
SSRIs,0.003466687753675441,0.06746977520425153,0.07350903572261483
Ruminococcaceae bacterium,-0.008963570386678648,0.06661947051294122,0.08021924093156896
Eggerthella lenta,-0.007208605256401089,0.06127480562450747,0.0818588744883113
Lachnospiraceae bacterium,0.008848664830552369,0.05636328359899245,0.07662468444665196
Bacteroides stercoris,-0.002513675512689179,0.056199544078681773,0.0756417548884905
Ruthenibacterium lactatiformans,-0.006750744114766217,0.055626703604593916,0.09316937143267347
Firmicutes bacterium AF16 15,-0.00041930515751643975,0.052193726298552574,0.0813249852783653
Bacteroides ovatus,-0.0036381143171007107,0.050174326097774447,0.06347310721925048
Longicatena caecimuris,0.003465302009665506,0.044915726762548853,0.0569477346066072
Blautia obeum,-0.003357204005909649,0.04475994250002666,0.05932290983700952
Streptococcus parasanguinis,-0.0048688908944822615,0.043289514983402236,0.068015940580114
polypharm5,0.004616664595356799,0.04201425938162867,0.049627241833325855
Massilimicrobiota sp An134,0.0018421074258337697,0.041022413675502946,0.07070232366914421
Roseburia faecis,0.005402944632616591,0.040248975629910706,0.05058080973487399
Ruminococcaceae unclassified SGB15260,-0.0031989272947355136,0.03599607468045103,0.0715735272675037
Calcium-channel blockers,-0.0011564762239170351,0.03074767111581031,0.03607686184261136
Bacteroides xylanisolvens,0.005169037927653841,0.030117750235613687,0.0486617043320845
Longibaculum muris,0.0015892904631157549,0.029085268985586117,0.05569916080192187
Loop diuretics,0.002483198775538826,0.027177377968753965,0.04909589239602653
Clostridiales bacterium 1 7 47FAA,-0.0012516412796164903,0.023820288349700118,0.040401331489846495
Cloacibacillus porcorum,-0.0025466152886307342,0.02306271640144716,0.04988104146959594
